Attrition,Age,TravelProfile,HomeToWork,Gender,HourlnWeek,Involvement,WorkLifeBalance,JobSatisfaction,ESOPs,NumCompaniesWorked,OverTime,SalaryHikelastYear,WorkExperience,LastPromotion,CurrentProfile,MaritalStatus,MonthlyIncome,Department_Marketing,Department_Sales,EducationField_Engineer,EducationField_MBA,EducationField_Marketing Diploma,EducationField_Other,EducationField_Statistics,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP
0.0,35.0,1,5.0,0,69.0,1.5,1.0,1.0,1.0,1.0,1.0,20.0,7.0,2.0,3.0,1,18932.0,False,False,False,False,False,False,False,True,False,False,False
1.0,32.0,2,5.0,1,62.0,4.0,3.0,2.0,0.0,8.0,0.0,20.0,4.0,1.0,3.0,0,18785.0,False,True,False,False,False,False,True,True,False,False,False
0.0,31.0,1,5.0,1,45.0,5.0,3.0,2.0,1.0,3.0,0.0,26.0,12.0,1.0,3.0,0,22091.0,False,False,False,False,False,False,True,False,True,False,False
0.0,34.0,2,10.0,1,32.0,3.0,2.0,4.0,1.0,1.0,0.0,23.0,5.0,1.0,3.0,2,20302.0,False,True,False,False,False,False,True,False,True,False,False
0.0,37.0,0,27.0,1,49.0,3.0,4.0,4.0,1.0,8.0,0.0,21.0,12.0,1.0,9.0,2,21674.0,False,False,False,False,False,False,True,False,True,False,False
1.0,34.0,2,24.0,1,43.0,3.0,4.0,5.0,1.0,9.0,1.0,20.0,11.0,0.0,2.0,1,24950.0,True,False,False,True,False,False,False,False,False,True,False
0.0,35.0,2,1.0,1,62.0,3.0,1.0,3.0,1.0,1.0,0.0,19.0,10.0,0.0,8.0,0,23789.0,False,True,False,False,True,False,False,False,False,True,False
1.0,26.0,1,8.0,0,48.0,4.0,2.0,3.0,1.0,2.0,1.0,17.0,7.0,1.0,4.0,0,21744.0,False,True,False,False,True,False,False,False,True,False,False
0.0,45.0,2,5.0,0,58.0,3.0,3.0,3.0,0.0,6.0,1.0,24.0,17.0,3.0,3.0,0,26209.0,False,False,False,False,False,False,False,False,False,True,False
1.0,24.0,1,4.0,1,65.0,3.0,3.0,3.0,1.0,9.0,0.0,19.0,4.0,2.0,0.0,0,19577.0,False,True,False,False,False,False,True,False,True,False,False
0.0,41.0,0,11.0,0,57.0,4.0,5.0,4.0,1.0,3.0,0.0,17.0,17.0,5.0,9.0,1,29757.0,False,False,False,False,False,False,False,False,False,True,False
0.0,37.0,1,1.0,1,59.0,3.0,4.0,2.0,0.0,4.0,0.0,22.0,12.0,1.0,2.0,0,22491.0,False,False,True,False,False,False,False,False,False,True,False
0.0,28.0,1,11.0,1,59.0,3.0,1.0,3.0,0.0,3.0,0.0,18.0,10.0,1.0,7.0,0,18660.0,False,False,False,False,False,True,False,False,True,False,False
0.0,34.0,1,9.0,0,42.0,3.0,3.0,2.0,1.0,1.0,0.0,17.0,10.0,6.0,8.0,2,17691.0,False,False,False,False,False,False,True,True,False,False,False
1.0,31.0,1,21.0,1,71.0,5.0,3.0,3.0,0.0,3.0,1.0,16.0,4.0,2.0,2.0,2,19559.0,False,True,False,False,False,False,True,False,True,False,False
